,격자고유번호,NUMPOINTS,x,y,visited,index
48938,다사635507,1,635,507,False,23395
48939,다사635519,1,635,519,False,23396
48940,다사635540,1,635,540,False,23397
48941,다사635549,0,635,549,False,23398
48942,다사635555,0,635,555,False,23399
48943,다사635398,0,635,398,False,23400
48944,다사635463,0,635,463,False,23401
48945,다사634603,0,634,603,False,23402
48946,다사634553,0,634,553,False,23404
48947,다사634554,0,634,554,False,23405
48948,다사634585,0,634,585,False,23406
48949,다사634409,0,634,409,False,23407
48950,다사698501,0,698,501,False,23380
48951,다사697505,1,697,505,False,23379
48952,다사697437,0,697,437,False,23378
48953,다사697444,0,697,444,False,23377
48954,다사639574,1,639,574,False,23352
48955,다사639590,0,639,590,False,23353
48956,다사639493,0,639,493,False,23354
48957,다사639503,0,639,503,False,23355
48958,다사639507,0,639,507,False,23356
48959,다사638533,1,638,533,False,23357
48960,다사638534,1,638,534,False,23358
48961,다사638538,1,638,538,False,23359
48962,다사638540,2,638,540,False,23360
48963,다사638554,1,638,554,False,23361
48964,다사638555,0,638,555,False,23362
48965,다사638399,0,638,399,False,23363
48966,다사638401,0,638,401,False,23364
48967,다사638411,0,638,411,False,23365
48968,다사638438,0,638,438,False,23366
48969,다사638462,0,638,462,False,23367
48970,다사638464,0,638,464,False,23368
48971,다사638513,1,638,513,False,23369
48972,다사637408,0,637,408,False,23370
48973,다사637450,1,637,450,False,23371
48974,다사637458,0,637,458,False,23372
48975,다사696440,0,696,440,False,23373
48976,다사696436,0,696,436,False,23374
48977,다사696434,0,696,434,False,23375
48978,다사696498,0,696,498,False,23376
48979,다사620488,0,620,488,False,23531
48980,다사620513,1,620,513,False,23533
48981,다사599564,0,599,564,False,23778
48982,다사607585,0,607,585,False,23701
48983,다사608592,0,608,592,False,23689
48984,다사608376,0,608,376,False,23690
48985,다사608382,0,608,382,False,23691
48986,다사608389,0,608,389,False,23692
48987,다사608440,0,608,440,False,23693
48988,다사608455,1,608,455,False,23694
48989,다사608456,1,608,456,False,23695
48990,다사608459,1,608,459,False,23696
48991,다사607652,0,607,652,False,23697
48992,다사607493,0,607,493,False,23698
48993,다사607514,0,607,514,False,23699
48994,다사607533,0,607,533,False,23700
48995,다사607389,0,607,389,False,23702
48996,다사608549,1,608,549,False,23687
