,격자고유구역,NUMPOINTS,x,y,visited,index
28944,다사443435,0,443,435,False,53280
28945,다사541485,0,541,485,False,53281
28946,다사364504,0,364,504,False,53282
28947,다사638394,0,638,394,False,53284
28948,다사639556,0,639,556,False,53297
28949,다사566637,0,566,637,False,53285
28950,다사616634,0,616,634,False,53286
28951,다사369530,0,369,530,False,53287
28952,다사514399,0,514,399,False,53288
28953,다사527588,0,527,588,False,53289
28954,다사643438,0,643,438,True,53290
28955,다사591649,0,591,649,False,53291
28956,다사621543,0,621,543,False,53292
28957,다사622392,0,622,392,False,53293
28958,다사511589,0,511,589,False,53294
28959,다사386531,0,386,531,False,53295
28960,다사553598,0,553,598,False,53296
28961,다사508410,0,508,410,False,52003
28962,다사508506,0,508,506,False,52001
28963,다사677460,0,677,460,False,50068
28964,다사609610,0,609,610,False,50549
28965,다사601415,0,601,415,False,50701
28966,다사601418,0,601,418,False,50702
28967,다사601442,0,601,442,False,50703
28968,다사600416,0,600,416,False,50704
28969,다사600428,0,600,428,False,50705
28970,다사600429,0,600,429,False,50706
28971,다사600442,0,600,442,False,50707
28972,다사707513,0,707,513,False,50708
28973,다사706503,0,706,503,False,50709
28974,다사705502,0,705,502,False,50710
28975,다사705515,0,705,515,False,50711
28976,다사703497,0,703,497,False,50713
28977,다사703501,0,703,501,False,50714
28978,다사703514,0,703,514,False,50715
28979,다사702512,0,702,512,False,50716
28980,다사415462,0,415,462,False,50717
28981,다사415471,0,415,471,False,50718
28982,다사415477,0,415,477,False,50719
28983,다사415523,0,415,523,False,50720
28984,다사415425,0,415,425,False,50721
28985,다사415439,1,415,439,False,50722
28986,다사414518,0,414,518,False,50724
28987,다사414436,0,414,436,False,50725
28988,다사414440,1,414,440,False,50726
28989,다사414442,1,414,442,False,50727
28990,다사414446,0,414,446,False,50728
28991,다사413459,0,413,459,False,50729
28992,다사598496,1,598,496,False,50700
28993,다사598494,0,598,494,False,50699
28994,다사598487,0,598,487,False,50698
28995,다사600467,0,600,467,False,50683
28996,다사598593,0,598,593,False,50671
28997,다사598616,0,598,616,False,50672
28998,다사598621,0,598,621,False,50673
28999,다사598632,0,598,632,False,50674
29000,다사598633,0,598,633,False,50675
29001,다사598634,0,598,634,False,50676
29002,다사601503,0,601,503,False,50677
29003,다사601537,0,601,537,False,50678
29004,다사601562,0,601,562,False,50679
29005,다사601565,0,601,565,False,50680
29006,다사601566,0,601,566,False,50681
29007,다사601570,0,601,570,False,50682
29008,다사600470,0,600,470,False,50684
29009,다사598437,0,598,437,False,50697
29010,다사600523,0,600,523,False,50685
29011,다사600524,0,600,524,False,50686
29012,다사600538,1,600,538,False,50687
29013,다사600565,0,600,565,False,50688
29014,다사599423,0,599,423,False,50689
29015,다사599427,0,599,427,False,50690
29016,다사599432,0,599,432,False,50691
29017,다사599478,0,599,478,False,50692
29018,다사599486,0,599,486,False,50693
29019,다사598391,0,598,391,False,50694
29020,다사598429,0,598,429,False,50695
29021,다사598430,0,598,430,False,50696
29022,다사413460,0,413,460,False,50730
29023,다사413466,0,413,466,False,50731
29024,다사413484,0,413,484,False,50732
29025,다사422439,0,422,439,False,50776
29026,다사420464,0,420,464,False,50764
29027,다사420528,0,420,528,False,50765
29028,다사421454,0,421,454,False,50766
29029,다사421446,0,421,446,False,50767
29030,다사421517,0,421,517,False,50768
29031,다사421510,0,421,510,False,50769
29032,다사421496,0,421,496,False,50770
29033,다사422483,0,422,483,False,50771
29034,다사422473,0,422,473,False,50772
29035,다사422467,0,422,467,True,50773
29036,다사422455,0,422,455,False,50774
29037,다사422447,0,422,447,False,50775
29038,다사422499,0,422,499,False,50777
29039,다사420484,0,420,484,False,50762
29040,다사423504,0,423,504,False,50778
29041,다사423495,0,423,495,False,50779
29042,다사423478,1,423,478,False,50780
29043,다사423445,0,423,445,False,50781
29044,다사423440,0,423,440,False,50782
29045,다사423519,0,423,519,False,50783
29046,다사424467,0,424,467,True,50784
29047,다사424451,0,424,451,False,50785
29048,다사424447,0,424,447,False,50786
29049,다사424431,0,424,431,True,50787
29050,다사424520,0,424,520,False,50788
29051,다사424519,0,424,519,False,50789
29052,다사420477,1,420,477,False,50763
29053,다사420489,0,420,489,False,50761
29054,다사413519,0,413,519,False,50733
29055,다사417435,0,417,435,False,50746
29056,다사416487,0,416,487,False,50734
29057,다사416481,0,416,481,False,50735
29058,다사416474,0,416,474,False,50736
29059,다사416455,0,416,455,False,50737
29060,다사416449,0,416,449,False,50738
29061,다사416436,0,416,436,False,50739
29062,다사416425,0,416,425,False,50740
29063,다사416500,0,416,500,False,50741
29064,다사417483,0,417,483,False,50742
29065,다사417465,0,417,465,False,50743
29066,다사417441,1,417,441,False,50744
29067,다사417436,0,417,436,False,50745
29068,다사417434,0,417,434,False,50747
29069,다사420492,0,420,492,False,50760
29070,다사417505,0,417,505,False,50748
29071,다사418495,0,418,495,False,50749
29072,다사418469,0,418,469,False,50750
29073,다사418444,0,418,444,False,50751
29074,다사418424,0,418,424,False,50752
29075,다사418517,0,418,517,False,50753
29076,다사419488,0,419,488,False,50754
29077,다사419438,0,419,438,False,50755
29078,다사419517,0,419,517,False,50756
29079,다사419516,0,419,516,False,50757
29080,다사419496,0,419,496,False,50758
29081,다사419489,0,419,489,False,50759
29082,다사598590,0,598,590,False,50670
29083,다사598566,0,598,566,False,50669
29084,다사598533,0,598,533,False,50668
29085,다사607384,0,607,384,False,50593
29086,다사608587,0,608,587,False,50581
29087,다사608590,0,608,590,False,50582
29088,다사608425,0,608,425,False,50583
29089,다사608437,0,608,437,False,50584
29090,다사608441,0,608,441,False,50585
29091,다사607639,0,607,639,False,50586
29092,다사607643,1,607,643,False,50587
29093,다사607473,0,607,473,False,50588
29094,다사607495,0,607,495,False,50589
29095,다사607497,1,607,497,False,50590
29096,다사607526,0,607,526,False,50591
29097,다사607566,1,607,566,False,50592
29098,다사606609,0,606,609,False,50594
29099,다사608567,1,608,567,False,50579
29100,다사606638,0,606,638,False,50595
29101,다사606654,0,606,654,False,50596
29102,다사606474,0,606,474,False,50597
29103,다사606484,0,606,484,False,50598
29104,다사606492,0,606,492,False,50599
29105,다사606501,1,606,501,False,50600
29106,다사606529,0,606,529,False,50601
29107,다사606556,0,606,556,False,50602
29108,다사606574,0,606,574,False,50603
29109,다사606584,0,606,584,False,50604
29110,다사606589,0,606,589,False,50605
29111,다사606384,0,606,384,False,50606
29112,다사608581,0,608,581,False,50580
29113,다사608546,0,608,546,False,50578
29114,다사605608,0,605,608,False,50608
29115,다사609591,0,609,591,False,50563
29116,다사609623,0,609,623,False,50551
29117,다사609638,0,609,638,False,50552
29118,다사609487,0,609,487,False,50553
29119,다사609488,0,609,488,False,50554
29120,다사609492,0,609,492,False,50555
29121,다사609508,0,609,508,False,50556
29122,다사609515,0,609,515,False,50557
29123,다사609543,0,609,543,False,50558
29124,다사609551,0,609,551,False,50559
29125,다사609558,0,609,558,True,50560
29126,다사609565,1,609,565,False,50561
29127,다사609589,0,609,589,False,50562
29128,다사609385,0,609,385,False,50564
29129,다사608521,0,608,521,False,50577
29130,다사609421,0,609,421,False,50565
29131,다사609435,0,609,435,False,50566
29132,다사609437,0,609,437,False,50567
29133,다사609452,0,609,452,False,50568
29134,다사609458,0,609,458,False,50569
29135,다사609462,1,609,462,False,50570
29136,다사608604,0,608,604,False,50571
29137,다사608646,1,608,646,True,50572
29138,다사608467,1,608,467,False,50573
29139,다사608493,0,608,493,False,50574
29140,다사608510,0,608,510,False,50575
29141,다사608511,0,608,511,False,50576
29142,다사606393,0,606,393,False,50607
29143,다사605643,1,605,643,False,50609
29144,다사599653,0,599,653,False,50667
29145,다사602585,1,602,585,False,50653
29146,다사603451,0,603,451,False,50641
29147,다사603452,0,603,452,False,50642
29148,다사602612,0,602,612,False,50643
29149,다사602616,1,602,616,False,50644
29150,다사602641,0,602,641,False,50645
29151,다사602463,0,602,463,False,50646
29152,다사602517,1,602,517,False,50647
29153,다사602525,1,602,525,False,50648
29154,다사602565,0,602,565,False,50649
29155,다사602576,0,602,576,False,50650
29156,다사602579,0,602,579,False,50651
29157,다사602584,1,602,584,False,50652
29158,다사602443,0,602,443,False,50654
29159,다사603447,0,603,447,False,50639
29160,다사601610,0,601,610,False,50655
29161,다사601611,0,601,611,False,50656
29162,다사601636,0,601,636,False,50657
29163,다사600617,0,600,617,False,50658
29164,다사600629,0,600,629,False,50659
29165,다사600635,0,600,635,False,50660
29166,다사600651,1,600,651,False,50661
29167,다사600654,0,600,654,False,50662
29168,다사599549,0,599,549,False,50663
29169,다사599590,0,599,590,False,50664
29170,다사599625,0,599,625,False,50665
